السوداني, the Sudanese
خفوت, fading
سياسي, political
للدعم السريع, Rapid Support
نشاط, (n) activity
مكثف, (adj) intensive
يسعى, strives
لتعويض, compensate
إخفاقاته, (his) failures
العسكرية, military
سياسيا, political
دبلوماسيا, diplomacy
حلول, start; advent
الأطراف, the parties; sides
يستقبلون, receive; greet; welcome
كئيبة, depressed/gloomy
أجواء, atmosphere
مقابل, in exchange for
الهدنة مفاوضات, truce/armistice negotiations
تمثيل, representation
محدود, limited
يعبر, express/represent
واقع, reality
المرأة, the women
المجالس المنتخبة, elected councels
الهجوم الأخير, recent attacks
تهميش, sidelineing/marginalizing
عنوان, headline
ما الذي نعرفه عن, What do we know about..
هجمات, Attacks
البحر الأحمر, The Red Sea
النساء, the women
x المرأة العالمي, International woman's day
أحد جنوده, one of his soldiers
يكشف, discoverd
الجيش, الجيش
 قطاع غزة, gaza strip
السُجُون, the prisons
السابق, the former/previous
مُعْتَقَل, prisoner
القائد العام, Commander in Chief
اختارت, they chose
المُقاوَمَة, resistance
الإسلامية, the Islamic
هلأ, now
بشتغل, work
برمجيات, software
شركة, company
تمِن, eight
الروضة, garden
قريب, close
أربعاء, Wednesday
خميس, Thursday
مكتب, Office
مكتبة, Library
سريعة, fast
بطيئة, slow
الشبكة, internet
قديمة, old
شاطر, clever
بالطبخ, cooking
أكلة, recipe/food
سهلة, easy
مطاعم, restaurants
مطعم, restaurant
قريبة, close
بدخِّن, smoke
مشان, because
أتفرج, watch
أفغانية, afgani
يونانية, greek
تركية, turkis
ما في, is none
سيغارة, cigarette?
أرغيلة, hookah/argilla
صحتي, my health
ألعب, i play
رياضة, sports/games
رفع, lift
أثقال, weights
قبل ما أنام , before I sleep
أتمشى, stroll/walk
غابة, forest/jungle
غابات, forests
طَلاق, divorce
حياتي, my life
شغلي, my work
عيلتي, my family
عيلة, family
عيلتك, your family
عايش, live
عشت, lived
عشت 10 سنين, lived 10 years
كنت عايش  ب, I used to live...
عيلتي بـ تركيا, my family lives in turkey
من  عشر سنين, for 10 years
الأكل التركي  طيب, turkish food is good
حرب, war
رحت   عـ, went to
سافرت, traveled
هِواية, hobby
شو هِواياتك, what are your hobbies?
هوايات, hobbies
التصوير, photography
صَوَر ل أطفالي , pictures of my children
صورة, pictures
صُوَر, picture
كم  ولد   عندك, How many children do you have?
صبي, son
غالية, expensive
رخيصة, cheap
ليش تتعلم, why are you learning?
أسافر, travel
صديق, friend
بيحكو, speak
كيف شفت الدرس, how did you see the lesson?
عجبك الدرس, did you like the lesson
حبيب قلب   امو,His mother's sweetheart
لـ وين   رايحة ؟,Where are you going?
سمِعنا   ام   فارس   عبـ تحكي,We heard Umm Fares talking
قبر,Grave
كيفك يا قلبي ؟,"how are you, baby ?"
قلبي,my heart
جواب,Answer
سُؤال,a question
نعم  ، أنا بحكي معن كل يوم,"Yes, I talk to him every day"
انت بتحكي   كتير   مع ولادَك؟,Do you talk a lot with your children?
سألني,he asked me
ما بحكي   كتير   مع ولادي   لأن ن مشغولين طول اليوم,I don't talk much with my children because they are busy all day
النهار,The day
طول اليوم,Length of the day
مشغول,Busy
ولادي,My children
مرتي,My wife
زُمَلائي,My colleagues
زَميلي,my colleague
بالعادة مع   مين   بتحكي    عـ التلفون ؟,Who do you usually talk to on the phone?
بتحكي   كل يوم   عـ التلفون ؟,Do you talk every day on the phone?
شو الفرق,What's the difference?
بشتغل 8 ساعات باليوم,I work 8 hours a day
كم ساعة بتشتغل باليوم,How many hours do you work a day?
شو عبتعمل,What are you doing?
نايِم,sleeping
عايش,Living
واقِف,Standing
قاعِد,Sitting
الثلاثاء,Tuesday
الغذائية,Food
المساعدات,Aid
سفينة,boat
قصيرة,short
تستمر بضعة أيام,It lasts a few days
دائم,permanent
ونفى,He denied
لكننا متفائلون,But we are optimistic
معقد,complicated
الوضع على الأرض,The situation on the ground
وقف إطلاق النار,cease-fire
شمال,north
نزول كميات لافتة من الأمطار,Significant amounts of rain fell
تزامن مع,Sync with
صدور,output
القرار,the decision
المترتبة على ذلك هي,The consequences of this are
المفارقة,Irony
لكن,but
في المئة,percent
السنوات الخمس الماضية,The past five years
الشح,Scarcity
الجمعة,Friday
الرسمية,Official
الجريدة,Newspaper
يمكن أن تواجهها,You can encounter it
يمكن,maybe
الأزمة,the crisis
حقيقة,fact
يعكس,reflects
وتحسن,And get better
الأمطار,Rain
التفاؤل,optimism
البلاد,The country
مستقبلا,In the future
بسبب,because of
السدود,Dams
بالرغم,Although
مياه الشرب,drinking water
أسعار,Prices
ترفع,Lift up
الجفاف,Drought
العالمي,Global
الاقتصاد,Economy
تقلبات,Fluctuations
تصطدم,Collide
أعمالها,Her works
محفظة,wallet
بتوسيع,Expanding
الشركة,Company
وعود,Promises
الغموض,Mystery
تنويع,diversification
استثمارات,Investments
